Year,Month,Rainfall
1970.0,1.0,16.0
1970.0,2.0,8.0
1970.0,3.0,23.0
1970.0,4.0,45.0
1970.0,5.0,192.0
1970.0,6.0,276.0
1970.0,7.0,496.0
1970.0,8.0,280.0
1970.0,9.0,200.0
1970.0,10.0,427.0
1970.0,11.0,32.0
1970.0,12.0,0.0
1971.0,1.0,3.0
1971.0,2.0,28.0
1971.0,3.0,0.0
1971.0,4.0,0.0
1971.0,5.0,344.0
1971.0,6.0,339.0
1971.0,7.0,550.0
1971.0,8.0,540.0
1971.0,9.0,259.0
1971.0,10.0,118.0
1971.0,11.0,95.0
1971.0,12.0,0.0
1972.0,1.0,0.0
1972.0,2.0,11.0
1972.0,3.0,12.0
1972.0,4.0,248.0
1972.0,5.0,340.0
1972.0,6.0,353.0
1972.0,7.0,249.0
1972.0,8.0,380.0
1972.0,9.0,110.0
1972.0,10.0,105.0
1972.0,11.0,0.0
1972.0,12.0,0.0
1973.0,1.0,0.0
1973.0,2.0,21.0
1973.0,3.0,32.0
1973.0,4.0,131.0
1973.0,5.0,621.0
1973.0,6.0,414.0
1973.0,7.0,0.0
1973.0,8.0,238.0
1973.0,9.0,348.0
1973.0,10.0,128.0
1973.0,11.0,64.0
1973.0,12.0,86.0
1975.0,1.0,1.0
1975.0,2.0,29.0
1975.0,3.0,13.0
1975.0,4.0,98.0
1975.0,5.0,317.0
1975.0,6.0,235.0
1975.0,7.0,559.0
1975.0,8.0,307.0
1975.0,9.0,329.0
1975.0,10.0,232.0
1975.0,11.0,25.0
1975.0,12.0,0.0
1976.0,1.0,0.0
1976.0,2.0,7.0
1976.0,3.0,117.0
1976.0,4.0,34.0
1976.0,5.0,459.0
1976.0,6.0,627.0
1976.0,7.0,346.0
1976.0,8.0,361.0
1976.0,9.0,165.0
1976.0,10.0,114.0
1976.0,11.0,8.0
1976.0,12.0,0.0
1977.0,1.0,0.0
1977.0,2.0,66.0
1977.0,3.0,71.0
1977.0,4.0,255.0
1977.0,5.0,381.0
1977.0,6.0,252.0
1977.0,7.0,306.0
1977.0,8.0,92.0
1977.0,9.0,131.0
1977.0,10.0,273.0
1977.0,11.0,10.0
1977.0,12.0,24.0
1978.0,1.0,0.0
1978.0,2.0,20.0
1978.0,3.0,18.0
1978.0,4.0,194.0
1978.0,5.0,454.0
1978.0,6.0,529.0
1978.0,7.0,320.0
1978.0,8.0,426.0
1978.0,9.0,192.0
1978.0,10.0,98.0
1978.0,11.0,0.0
1978.0,12.0,0.0
1979.0,1.0,3.0
1979.0,2.0,13.0
1979.0,3.0,6.0
1979.0,4.0,17.0
1979.0,5.0,114.0
1979.0,6.0,258.0
1979.0,7.0,267.0
1979.0,8.0,525.0
1979.0,9.0,382.0
1979.0,10.0,146.0
1979.0,11.0,55.0
1979.0,12.0,51.0
1980.0,1.0,3.0
1980.0,2.0,32.0
1980.0,3.0,54.0
1980.0,4.0,147.0
1980.0,5.0,414.0
1980.0,6.0,323.0
1980.0,7.0,380.0
1980.0,8.0,269.0
1980.0,9.0,296.0
1980.0,10.0,300.0
1980.0,11.0,0.0
1980.0,12.0,0.0
1981.0,1.0,10.0
1981.0,2.0,42.0
1981.0,3.0,109.0
1981.0,4.0,274.0
1981.0,5.0,272.0
1981.0,6.0,168.0
1981.0,7.0,356.0
1981.0,8.0,188.0
1981.0,9.0,320.0
1981.0,10.0,82.0
1981.0,11.0,9.0
1981.0,12.0,35.0
1982.0,1.0,0.0
1982.0,2.0,15.0
1982.0,3.0,81.0
1982.0,4.0,104.0
1982.0,5.0,154.0
1982.0,6.0,514.0
1982.0,7.0,136.0
1982.0,8.0,346.0
1982.0,9.0,258.0
1982.0,10.0,146.0
1982.0,11.0,51.0
1982.0,12.0,0.0
1983.0,1.0,14.0
1983.0,2.0,61.0
1983.0,3.0,138.0
1983.0,4.0,318.0
1983.0,5.0,348.0
1983.0,6.0,300.0
1983.0,7.0,179.0
1983.0,8.0,437.0
1983.0,9.0,322.0
1983.0,10.0,253.0
1983.0,11.0,0.0
1983.0,12.0,18.0
1984.0,1.0,13.0
1984.0,2.0,1.0
1984.0,3.0,5.0
1984.0,4.0,124.0
1984.0,5.0,707.0
1984.0,6.0,637.0
1984.0,7.0,694.0
1984.0,8.0,311.0
1984.0,9.0,478.0
1984.0,10.0,58.0
1984.0,11.0,0.0
1984.0,12.0,0.0
1985.0,1.0,8.0
1985.0,2.0,1.0
1985.0,3.0,195.0
1985.0,4.0,176.0
1985.0,5.0,300.0
1985.0,6.0,399.0
1985.0,7.0,262.0
1985.0,8.0,317.0
1985.0,9.0,306.0
1985.0,10.0,79.0
1985.0,11.0,0.0
1985.0,12.0,10.0
1986.0,1.0,22.0
1986.0,2.0,0.0
1986.0,3.0,23.0
1986.0,4.0,247.0
1986.0,5.0,191.0
1986.0,6.0,304.0
1986.0,7.0,443.0
1986.0,8.0,171.0
1986.0,9.0,687.0
1986.0,10.0,237.0
1986.0,11.0,172.0
1986.0,12.0,3.0
1987.0,1.0,4.0
1987.0,2.0,0.0
1987.0,3.0,33.0
1987.0,4.0,230.0
1987.0,5.0,109.0
1987.0,6.0,316.0
1987.0,7.0,526.0
1987.0,8.0,462.0
1987.0,9.0,363.0
1987.0,10.0,104.0
1987.0,11.0,7.0
1987.0,12.0,33.0
1988.0,1.0,0.0
1988.0,2.0,44.0
1988.0,3.0,74.0
1988.0,4.0,282.0
1988.0,5.0,513.0
1988.0,6.0,580.0
1988.0,7.0,255.0
1988.0,8.0,169.0
1988.0,9.0,196.0
1988.0,10.0,213.0
1988.0,11.0,153.0
1988.0,12.0,3.0
1989.0,1.0,0.0
1989.0,2.0,32.0
1989.0,3.0,0.0
1989.0,4.0,85.0
1989.0,5.0,228.0
1989.0,6.0,319.0
1989.0,7.0,347.0
1989.0,8.0,59.0
1989.0,9.0,305.0
1989.0,10.0,240.0
1989.0,11.0,0.0
1989.0,12.0,12.0
1990.0,1.0,0.0
1990.0,2.0,36.0
1990.0,3.0,151.0
1990.0,4.0,154.0
1990.0,5.0,202.0
1990.0,6.0,229.0
1990.0,7.0,567.0
1990.0,8.0,227.0
1990.0,9.0,247.0
1990.0,10.0,181.0
1990.0,11.0,103.0
1990.0,12.0,6.0
1991.0,1.0,27.0
1991.0,2.0,8.0
1991.0,3.0,46.0
1991.0,4.0,53.0
1991.0,5.0,529.0
1991.0,6.0,320.0
1991.0,7.0,318.0
1991.0,8.0,345.0
1991.0,9.0,692.0
1991.0,10.0,392.0
1991.0,11.0,14.0
1991.0,12.0,106.0
1992.0,1.0,1.0
1992.0,2.0,47.0
1992.0,3.0,0.0
1992.0,4.0,25.0
1992.0,5.0,153.0
1992.0,6.0,132.0
1992.0,7.0,386.0
1992.0,8.0,182.0
1992.0,9.0,158.0
1992.0,10.0,83.0
1992.0,11.0,2.0
1992.0,12.0,0.0
1993.0,1.0,0.0
1993.0,2.0,52.0
1993.0,3.0,88.0
1993.0,4.0,113.0
1993.0,5.0,556.0
1993.0,6.0,504.0
1993.0,7.0,421.0
1993.0,8.0,432.0
1993.0,9.0,417.0
1993.0,10.0,217.0
1993.0,11.0,19.0
1993.0,12.0,0.0
1994.0,1.0,13.0
1994.0,2.0,54.0
1994.0,3.0,115.0
1994.0,4.0,201.0
1994.0,5.0,254.0
1994.0,6.0,266.0
1994.0,7.0,153.0
1994.0,8.0,246.0
1994.0,9.0,169.0
1994.0,10.0,55.0
1994.0,11.0,14.0
1994.0,12.0,0.0
1995.0,1.0,8.0
1995.0,2.0,31.0
1995.0,3.0,0.0
1995.0,4.0,88.0
1995.0,5.0,264.0
1995.0,6.0,237.0
1995.0,7.0,354.0
1995.0,8.0,360.0
1995.0,9.0,205.0
1995.0,10.0,91.0
1995.0,11.0,112.0
1995.0,12.0,1.0
1996.0,1.0,0.0
1996.0,2.0,21.0
1996.0,3.0,54.0
1996.0,4.0,199.0
1996.0,5.0,208.0
1996.0,6.0,343.0
1996.0,7.0,257.0
1996.0,8.0,361.0
1996.0,9.0,244.0
1996.0,10.0,357.0
1996.0,11.0,0.0
1996.0,12.0,0.0
1997.0,1.0,2.0
1997.0,2.0,7.0
1997.0,3.0,82.0
1997.0,4.0,133.0
1997.0,5.0,151.0
1997.0,6.0,249.0
1997.0,7.0,549.0
1997.0,8.0,230.0
1997.0,9.0,440.0
1997.0,10.0,30.0
1997.0,11.0,1.0
1997.0,12.0,22.0
1998.0,1.0,49.0
1998.0,2.0,4.0
1998.0,3.0,83.0
1998.0,4.0,178.0
1998.0,5.0,405.0
1998.0,6.0,89.0
1998.0,7.0,521.0
1998.0,8.0,552.0
1998.0,9.0,246.0
1998.0,10.0,100.0
1998.0,11.0,83.0
1998.0,12.0,0.0
1999.0,1.0,0.0
1999.0,2.0,0.0
1999.0,3.0,0.0
1999.0,4.0,21.0
1999.0,5.0,428.0
1999.0,6.0,348.0
1999.0,7.0,553.0
1999.0,8.0,282.0
1999.0,9.0,361.0
1999.0,10.0,368.0
1999.0,11.0,13.0
1999.0,12.0,0.0
2000.0,1.0,13.0
2000.0,2.0,44.0
2000.0,3.0,172.0
2000.0,4.0,189.0
2000.0,5.0,608.0
2000.0,6.0,165.0
2000.0,7.0,197.0
2000.0,8.0,359.0
2000.0,9.0,216.0
2000.0,10.0,278.0
2000.0,11.0,0.0
2000.0,12.0,0.0
2001.0,1.0,0.0
2001.0,2.0,1.0
2001.0,3.0,33.0
2001.0,4.0,46.0
2001.0,5.0,402.0
2001.0,6.0,386.0
2001.0,7.0,202.0
2001.0,8.0,205.0
2001.0,9.0,209.0
2001.0,10.0,177.0
2001.0,11.0,18.0
2001.0,12.0,0.0
2002.0,1.0,22.0
2002.0,2.0,4.0
2002.0,3.0,51.0
2002.0,4.0,111.0
2002.0,5.0,272.0
2002.0,6.0,373.0
2002.0,7.0,446.0
2002.0,8.0,272.0
2002.0,9.0,156.0
2002.0,10.0,52.0
2002.0,11.0,36.0
2002.0,12.0,0.0
2003.0,1.0,0.0
2003.0,2.0,25.0
2003.0,3.0,96.0
2003.0,4.0,123.0
2003.0,5.0,140.0
2003.0,6.0,473.0
2003.0,7.0,191.0
2003.0,8.0,202.0
2003.0,9.0,264.0
2003.0,10.0,134.0
2003.0,11.0,0.0
2003.0,12.0,45.0
2004.0,1.0,0.0
2004.0,2.0,0.0
2004.0,3.0,9.0
2004.0,4.0,167.0
2004.0,5.0,162.0
2004.0,6.0,476.0
2004.0,7.0,295.0
2004.0,8.0,191.0
2004.0,9.0,839.0
2004.0,10.0,208.0
2004.0,11.0,0.0
2004.0,12.0,0.0
2005.0,1.0,1.0
2005.0,2.0,3.0
2005.0,3.0,155.0
2005.0,4.0,91.0
2005.0,5.0,291.0
2005.0,6.0,259.0
2005.0,7.0,542.0
2005.0,8.0,361.0
2005.0,9.0,514.0
2005.0,10.0,417.0
2005.0,11.0,3.0
2005.0,12.0,0.0
2006.0,1.0,0.0
2006.0,2.0,0.0
2006.0,3.0,0.0
2006.0,4.0,181.0
2006.0,5.0,185.0
2006.0,6.0,326.0
2006.0,7.0,331.0
2006.0,8.0,167.0
2006.0,9.0,663.0
2006.0,10.0,61.0
2006.0,11.0,5.0
2006.0,12.0,0.0
2007.0,1.0,0.0
2007.0,2.0,30.0
2007.0,3.0,11.0
2007.0,4.0,163.0
2007.0,5.0,185.0
2007.0,6.0,628.0
2007.0,7.0,753.0
2007.0,8.0,505.0
2007.0,9.0,179.0
2007.0,10.0,320.0
2007.0,11.0,111.0
2007.0,12.0,0.0
2008.0,1.0,23.0
2008.0,2.0,56.0
2008.0,3.0,45.0
2008.0,4.0,91.0
2008.0,5.0,205.0
2008.0,6.0,409.0
2008.0,7.0,563.0
2008.0,8.0,319.0
2008.0,9.0,279.0
2008.0,10.0,227.0
2008.0,11.0,0.0
2008.0,12.0,0.0
2009.0,1.0,1.0
2009.0,2.0,1.0
2009.0,3.0,43.0
2009.0,4.0,14.0
2009.0,5.0,168.0
2009.0,6.0,170.0
2009.0,7.0,676.0
2009.0,8.0,482.0
2009.0,9.0,298.0
2009.0,10.0,74.0
2009.0,11.0,4.0
2009.0,12.0,0.0
2010.0,1.0,0.0
2010.0,2.0,48.0
2010.0,3.0,22.0
2010.0,4.0,37.0
2010.0,5.0,177.0
2010.0,6.0,308.0
2010.0,7.0,167.0
2010.0,8.0,340.0
2010.0,9.0,169.0
2010.0,10.0,174.0
2010.0,11.0,0.0
2010.0,12.0,81.0
2011.0,1.0,0.0
2011.0,2.0,0.0
2011.0,3.0,20.0
2011.0,4.0,123.0
2011.0,5.0,235.0
2011.0,6.0,314.0
2011.0,7.0,356.0
2011.0,8.0,409.0
2011.0,9.0,207.0
2011.0,10.0,112.0
2011.0,11.0,0.0
2011.0,12.0,0.0
2012.0,1.0,10.0
2012.0,2.0,1.0
2012.0,3.0,37.0
2012.0,4.0,269.0
2012.0,5.0,137.0
2012.0,6.0,175.0
2012.0,7.0,226.0
2012.0,8.0,282.0
2012.0,9.0,81.0
2012.0,10.0,38.0
2012.0,11.0,68.0
2012.0,12.0,5.0
2013.0,1.0,0.0
2013.0,2.0,8.0
2013.0,3.0,26.0
2013.0,4.0,32.0
2013.0,5.0,378.0
2013.0,6.0,325.0
2013.0,7.0,302.0
2013.0,8.0,212.0
2013.0,9.0,138.0
2013.0,10.0,131.0
2013.0,11.0,0.0
2013.0,12.0,4.0
2014.0,1.0,0.0
2014.0,2.0,12.0
2014.0,3.0,10.0
2014.0,4.0,80.0
2014.0,5.0,147.0
2014.0,6.0,342.0
2014.0,7.0,212.0
2014.0,8.0,391.0
2014.0,9.0,156.0
2014.0,10.0,49.0
2014.0,11.0,0.0
2014.0,12.0,0.0
2015.0,1.0,3.0
2015.0,2.0,17.0
2015.0,3.0,4.0
2015.0,4.0,166.0
2015.0,5.0,185.0
2015.0,6.0,375.0
2015.0,7.0,623.0
2015.0,8.0,395.0
2015.0,9.0,346.0
2015.0,10.0,51.0
2015.0,11.0,0.0
2015.0,12.0,1.0
2016.0,1.0,3.0
2016.0,2.0,13.0
2016.0,3.0,55.0
2016.0,4.0,55.0
2016.0,5.0,212.0
2016.0,6.0,212.0
2016.0,7.0,405.0
2016.0,8.0,171.0
2016.0,9.0,138.0
2016.0,10.0,76.0
2016.0,11.0,25.0
2016.0,12.0,0.0
